url;deprecated;valid_until;valid_from;id;label_en;skos:prefLabel;label_it
http://publications.europa.eu/resource/authority/site/KOSMONAVTOV62;false;;1958-01-01;KOSMONAVTOV62;Kosmonavtov 62;;
http://publications.europa.eu/resource/authority/site/KOSOVOSTREET1;false;;1958-01-01;KOSOVOSTREET1;Kosovo Street 1;;
http://publications.europa.eu/resource/authority/site/KSTREET2175;false;;1958-01-01;KSTREET2175;K Street 2175;;
http://publications.europa.eu/resource/authority/site/L102;false;;1958-01-01;L102;;;
http://publications.europa.eu/resource/authority/site/L130;false;;1958-01-01;L130;;;
http://publications.europa.eu/resource/authority/site/L145;false;;1958-01-01;L145;;;
http://publications.europa.eu/resource/authority/site/L15;false;;2013-06-21;L15;;;
http://publications.europa.eu/resource/authority/site/L41;false;;1958-01-01;L41;;;
http://publications.europa.eu/resource/authority/site/L56;false;;1958-01-01;L56;;;
http://publications.europa.eu/resource/authority/site/L86;false;;1958-01-01;L86;;;
http://publications.europa.eu/resource/authority/site/LACBIWA;false;;1958-01-01;LACBIWA;Lac Biwa;;
http://publications.europa.eu/resource/authority/site/LACC;false;;2015-01-01;LACC;Laccolith building;;
http://publications.europa.eu/resource/authority/site/LACWINDERMERE;false;;1958-01-01;LACWINDERMERE;Lac Windermere;;
http://publications.europa.eu/resource/authority/site/LARGOJEANMONNET;false;;1958-01-01;LARGOJEANMONNET;Largo Jean Monnet;;
http://publications.europa.eu/resource/authority/site/LASCAR31;false;;1958-01-01;LASCAR31;Lascar 31;;
http://publications.europa.eu/resource/authority/site/LEFRANCQ120;false;;1958-01-01;LEFRANCQ120;Lefrancq 120;;
http://publications.europa.eu/resource/authority/site/LEICESTERPEAK;false;;1958-01-01;LEICESTERPEAK;Leicester Peak, Regent;;
http://publications.europa.eu/resource/authority/site/LINDEN78;false;;1958-01-01;LINDEN78;Linden 78;;
http://publications.europa.eu/resource/authority/site/LKI;false;;2016-01-01;LKI;LKI;;
http://publications.europa.eu/resource/authority/site/LOSANGELESBV4899;false;;1958-01-01;LOSANGELESBV4899;Los Angeles Boulevard 4899;;
http://publications.europa.eu/resource/authority/site/LOTCOCOTIERS;false;;1958-01-01;LOTCOCOTIERS;Lotissement des Cocotiers;;
http://publications.europa.eu/resource/authority/site/LOVOHAZ35;false;;1958-01-01;LOVOHAZ35;Lövőház 35;;
http://publications.europa.eu/resource/authority/site/LOW;false;;1958-01-01;LOW;Louise Weiss;;
http://publications.europa.eu/resource/authority/site/LOWERMOUNT12_14;false;;1958-01-01;LOWERMOUNT12_14;Lower Mount 12-14;;
http://publications.europa.eu/resource/authority/site/LX40;false;;1958-01-01;LX40;;;
http://publications.europa.eu/resource/authority/site/LX46;false;;1958-01-01;LX46;;;
http://publications.europa.eu/resource/authority/site/MADO;false;;1958-01-01;MADO;;;
http://publications.europa.eu/resource/authority/site/MAGENTA59;false;;1958-01-01;MAGENTA59;Magenta 59;;
http://publications.europa.eu/resource/authority/site/MALMINKATU16;false;;1958-01-01;MALMINKATU16;Malminkatu 16;;
http://publications.europa.eu/resource/authority/site/MARECHALFOCH3;false;;1958-01-01;MARECHALFOCH3;Marechal Foch 3;;
http://publications.europa.eu/resource/authority/site/MARSATEKLAI192;false;;1958-01-01;MARSATEKLAI192;Marsa Teklai 192;;
http://publications.europa.eu/resource/authority/site/MEIEROVICA14;false;;1958-01-01;MEIEROVICA14;Meierovica 14;;
http://publications.europa.eu/resource/authority/site/MER;false;;1958-01-01;MER;;;
http://publications.europa.eu/resource/authority/site/MERO;false;;2016-11-30;MERO;Merode;;
http://publications.europa.eu/resource/authority/site/METCALFE150;false;;1958-01-01;METCALFE150;Metcalfe 150;;
http://publications.europa.eu/resource/authority/site/MHE;false;;2017-01-01;MHE;House of European History;;
http://publications.europa.eu/resource/authority/site/MINAMIAZABU;false;;1958-01-01;MINAMIAZABU;Minami-Azabu;;
